Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
guilted,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
gunslinging,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hairtail,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
haltered,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hamate,10,3,8,2,0.2,1.0414,0.04,0.6021,adjective,8.0,0.8,adjective.verb,8.2,2
handpicking,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hankered,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hatcheck,9,8,6,5,0.18,1.0,0.1,0.9542,noun,7.0,0.78,noun.verb,7.2,2
headbutted,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
heckles,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hedgehopping,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
heisting,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
herniate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
highhanded,5,5,5,5,0.1,0.7782,0.06,0.7782,adjective,3.0,0.6,adjective.verb,3.2,2
hitchhikes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hoaxed,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
hoboing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
holographs,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
hopscotching,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hulked,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
humanises,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
humpbacked,7,6,6,5,0.14,0.9031,0.07,0.8451,adjective,5.0,0.71,adjective.verb,5.2,2
hypertense,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
hypnotizes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
idolise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
idolises,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
incapacitates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
injust,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
inseparate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
insufflated,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
intellectualize,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
invigilate,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
japanning,3,1,3,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.noun,2.1,2
jawboning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
jink,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,2.0,0.5,verb.noun,2.2,2
jockeyed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
juked,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
keelhauled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
kenneled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
kowtowed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
kreplach,5,5,2,2,0.1,0.7782,0.06,0.7782,verb,2.0,0.4,verb.noun.name,2.2.1,2
laddered,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
lassoing,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
lionhearted,4,2,3,2,0.08,0.6990000000000001,0.02,0.4771,verb,2.0,0.5,verb.name.adjective,2.1.1,2
liverish,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
lobotomize,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
lollygag,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
lousing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
lynches,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
marbleize,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mealymouthed,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
merpeople,5,3,2,1,0.1,0.7782,0.04,0.6021,noun,3.0,0.6,noun.verb,3.2,2
midwifed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
miniaturise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
misdirecting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mishear,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mislabelled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mispronouncing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mollycoddling,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
monopolising,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mooched,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
moseys,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
moussed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mudsling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
mutinying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
nauseate,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
neighed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
nerts,8,8,4,4,0.16,0.9542,0.1,0.9542,noun,6.0,0.75,noun.verb,6.2,2
neutralises,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
nixing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
notarizing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
nowheres,12,12,9,9,0.24,1.1139,0.14,1.1139,noun,7.0,0.58,noun.name.verb,7.3.2,2
okaying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
optioning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outdrink,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outfox,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outguessed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outshining,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outsmarts,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outstare,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outstay,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
outthinking,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overachieve,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overbill,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overdescribe,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overdressing,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
overexerted,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overindulging,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overinvolved,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overpays,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overpopulate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overpraised,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overprotect,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
oversew,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
overtrained,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
padrone,9,3,1,1,0.18,1.0,0.04,0.6021,name,5.0,0.56,name.verb.noun,5.2.2,2
paginates,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
palpating,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
parleying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pederasts,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
pepped,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
perfuse,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
perspired,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pesters,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pickax,11,7,6,6,0.22,1.0792,0.08,0.9031,noun,7.0,0.64,noun.verb.name,7.2.2,2
pinked,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
plunks,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pluralise,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
poaches,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
poleaxed,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
politick,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pooed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
prating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
prearrange,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
preppies,8,8,4,4,0.16,0.9542,0.1,0.9542,name,4.0,0.5,name.verb.noun,4.2.2,2
presold,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
promenading,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pronating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
pulsated,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
purled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
putrefy,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
quaalude,9,8,1,1,0.18,1.0,0.1,0.9542,name,7.0,0.78,name.verb,7.2,2
rabbeted,3,1,3,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.adjective,2.1,2
rabbiting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
ramrodding,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
ranched,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
ransoming,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rassling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rawhided,3,1,2,1,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.name,2.1,2
reanimating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reassume,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reave,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rebury,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reburying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
recking,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reclothe,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
recontact,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
recriminate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reengaging,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
refashioning,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reffing,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
refilter,2,2,0,0,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
refloated,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
rehung,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reichsmarks,5,4,4,3,0.1,0.7782,0.05,0.6990000000000001,noun,3.0,0.6,noun.verb,3.2,2
reinterview,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,2.0,0.5,verb.noun,2.2,2
reinvestigate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rejigger,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
relume,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
remoulded,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
replate,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
repledge,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reposit,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rerig,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
reshooting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
reshoots,11,6,10,6,0.22,1.0792,0.07,0.8451,noun,9.0,0.82,noun.verb,9.2,2
restage,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
restaged,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
retched,5,3,5,3,0.1,0.7782,0.04,0.6021,adjective,3.0,0.6,adjective.verb,3.2,2
rethread,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
retrogressing,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
rewashes,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
rewashing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
righten,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rogered,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rollick,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
romanticise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
romanticizes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
roosted,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
rootling,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
rubbernecking,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
ruing,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
rusticate,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
sacculate,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
salivates,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
saltgrass,4,1,0,0,0.08,0.6990000000000001,0.01,0.301,verb,2.0,0.5,verb.name,2.2,2
salvoed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
samel,9,1,0,0,0.18,1.0,0.01,0.301,name,7.0,0.78,name.verb,7.2,2
sanforized,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sauerbraten,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
scandalise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
scandalising,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
scarpered,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
schnook,17,13,17,13,0.33,1.2553,0.15,1.1461,noun,15.0,0.88,noun.verb,15.2,2
scintillate,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
scolex,23,1,0,0,0.45,1.3802,0.01,0.301,name,14.0,0.61,name.noun.verb,14.7.2,2
scrounges,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
seeling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sensationalizing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sharpshoot,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sharpshooting,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.name.adjective,2.1.1,2
shavetail,5,5,4,4,0.1,0.7782,0.06,0.7782,noun,3.0,0.6,noun.verb,3.2,2
shopkeep,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
shuteye,28,24,26,24,0.55,1.4624,0.29,1.3979,noun,26.0,0.93,noun.verb,26.2,2
shuting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
simpers,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
skeezix,4,4,1,1,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,2.0,0.5,verb.name,2.2,2
skitters,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
slaloming,2,1,1,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
sleazebag,13,12,13,12,0.25,1.1461,0.14,1.1139,noun,11.0,0.85,noun.verb,11.2,2
slenderizing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
slinked,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
slod,3,1,0,0,0.06,0.6021,0.01,0.301,verb,2.0,0.67,verb.name,2.1,2
slutting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
smartening,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
smooched,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
socializes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sodomise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
somersaulting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sortied,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
souse,16,7,10,6,0.31,1.2304,0.08,0.9031,noun,11.0,0.69,noun.name.verb,11.3.2,2
spellchecked,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
spiffing,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,adjective,3.0,0.6,adjective.verb,3.2,2
splinted,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
spreadeagled,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
spritzed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
squiggling,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
stinkweed,6,5,6,5,0.12,0.8451,0.06,0.7782,noun,4.0,0.67,noun.verb,4.2,2
stoved,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
strafes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
strudels,5,4,4,3,0.1,0.7782,0.05,0.6990000000000001,noun,3.0,0.6,noun.verb,3.2,2
stuccoing,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
suborned,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sunbathes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
sundowning,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
sunlamp,6,5,4,4,0.12,0.8451,0.06,0.7782,noun,4.0,0.67,noun.verb,4.2,2
superheating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
surcease,5,5,3,3,0.1,0.7782,0.06,0.7782,noun,3.0,0.6,noun.verb,3.2,2
surfboarding,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
surfeiting,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
suspicioned,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
swacked,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.adjective,2.1,2
swingles,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
tabes,11,1,0,0,0.22,1.0792,0.01,0.301,noun,5.0,0.45,noun.name.verb,5.4.2,2
taels,24,3,24,3,0.47,1.3979,0.04,0.6021,noun,22.0,0.92,noun.verb,22.2,2
tallish,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
tangoed,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
televiewer,3,2,1,1,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
telt,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
tenderized,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
thickheaded,6,6,6,6,0.12,0.8451,0.07,0.8451,adjective,4.0,0.67,adjective.verb,4.2,2
thingamabob,10,10,9,9,0.2,1.0414,0.12,1.0414,noun,7.0,0.7,noun.verb.name,7.2.1,2
thingamajig,11,11,10,10,0.22,1.0792,0.13,1.0792,noun,9.0,0.82,noun.verb,9.2,2
titters,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
toked,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
tommyrot,3,3,1,1,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.noun,2.1,2
toolach,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
tovarich,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
toxify,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
trancing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.adjective,2.1,2
tranquillise,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
transubstantiate,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
tromped,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
tupping,2,1,2,1,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
turtled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
turtledoves,13,8,12,8,0.25,1.1461,0.1,0.9542,noun,11.0,0.85,noun.verb,11.2,2
tweezes,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
twiddled,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unapt,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unbelieve,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unbend,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unbolt,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unbottle,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unbuild,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
uncoil,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
underpaying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
underrating,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
understudying,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unfreezing,7,4,7,4,0.14,0.9031,0.05,0.6990000000000001,noun,5.0,0.71,noun.verb,5.2,2
ungrip,2,1,0,0,0.04,0.4771,0.01,0.301,verb,2.0,1.0,verb,2,2
unharness,2,2,1,1,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unhitched,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unhitching,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unhooks,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,2.0,1.0,verb,2,2
unjam,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,2.0,0.67,verb.name,2.1,2
unliving,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,2.0,0.67,verb.noun,2.1,2
