Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
gibbers,4,3,3,2,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
growse,4,1,2,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
guilting,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
harelip,8,7,5,4,0.16,0.9542,0.08,0.9031,verb,4.0,0.5,verb.noun,4.4,4
henpecked,8,8,8,8,0.16,0.9542,0.1,0.9542,verb,4.0,0.5,verb.adjective,4.4,4
hiccuping,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
honkies,21,15,20,14,0.41,1.3424,0.18,1.2041,noun,16.0,0.76,noun.verb.name,16.4.1,4
incept,5,2,1,1,0.1,0.7782,0.02,0.4771,verb,4.0,0.8,verb.noun,4.1,4
jaywalk,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,4.0,0.8,verb.noun,4.1,4
juking,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
lammed,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
limbering,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
liquefies,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
livening,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
maced,10,8,6,6,0.2,1.0414,0.1,0.9542,verb,4.0,0.4,verb.name.adjective,4.4.2,4
modred,13,1,0,0,0.25,1.1461,0.01,0.301,adjective,7.0,0.54,adjective.verb.name,7.4.2,4
muling,7,4,7,4,0.14,0.9031,0.05,0.6990000000000001,verb,4.0,0.57,verb.adjective,4.3,4
mummify,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
myrt,8,4,0,0,0.16,0.9542,0.05,0.6990000000000001,verb,4.0,0.5,verb.name,4.4,4
nutted,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
oohing,6,5,5,4,0.12,0.8451,0.06,0.7782,verb,4.0,0.67,verb.noun,4.2,4
outstayed,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
overact,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
overanalyzing,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
overcompensates,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
plonking,4,1,3,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
prattles,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
prettying,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
psychoanalyse,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
psychoanalyzing,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
pulverise,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
quietens,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
rearmed,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
reconciliate,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
reenlisting,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
riped,5,5,1,1,0.1,0.7782,0.06,0.7782,verb,4.0,0.8,verb.adjective,4.1,4
sashaying,4,3,3,2,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
scarify,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
scrimmaging,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
shallowing,4,2,3,1,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
skulks,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
sledders,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
sleepwalks,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,4.0,0.8,verb.noun,4.1,4
speechmaking,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,4.0,0.8,verb.noun,4.1,4
squiring,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,4.0,0.8,verb.noun,4.1,4
squishes,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
stupefy,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
suborning,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
suckles,4,2,3,1,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
sugarcoating,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
swatters,7,5,7,5,0.14,0.9031,0.06,0.7782,verb,4.0,0.67,verb.noun,4.2,4
tattled,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
tups,4,1,4,1,0.08,0.6990000000000001,0.01,0.301,verb,4.0,1.0,verb,4,4
tweezed,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,4.0,0.8,verb.adjective,4.1,4
unamusing,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
uncross,5,5,4,4,0.1,0.7782,0.06,0.7782,verb,4.0,0.8,verb.noun,4.1,4
uncurl,4,2,3,2,0.08,0.6990000000000001,0.02,0.4771,verb,4.0,1.0,verb,4,4
unfreezes,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
unhorse,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
unpure,6,2,2,2,0.12,0.8451,0.02,0.4771,verb,4.0,1.0,verb,4,4
ununderstanding,2,1,2,1,0.04,0.4771,0.01,0.301,verb,4.0,1.0,verb,4,4
upstaging,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
walleyed,9,7,8,6,0.18,1.0,0.08,0.9031,adjective,5.0,0.56,adjective.verb,5.4,4
weaseled,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,4.0,1.0,verb,4,4
welched,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
whaled,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
wildcatting,6,3,6,3,0.12,0.8451,0.04,0.6021,verb,4.0,0.67,verb.noun,4.2,4
wingding,14,13,14,13,0.27,1.1761,0.15,1.1461,noun,10.0,0.71,noun.verb,10.4,4
yammer,6,5,5,5,0.12,0.8451,0.06,0.7782,verb,4.0,0.67,verb.noun,4.2,4
zigging,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,4.0,1.0,verb,4,4
zopilote,6,1,0,0,0.12,0.8451,0.01,0.301,verb,4.0,0.67,verb.name,4.2,4
afeared,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,3.0,0.6,verb.adjective,3.2,3
alibied,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
aport,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
ascared,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
atremble,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
aweek,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
bandying,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
