Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Adjective_freq
unbought,2,2,2,2,0.04,0.4771,0.02,0.4771,verb,1.0,0.5,verb.adjective,1.1,1
unbriefed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbruised,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unburstable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbusinesslike,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unbusy,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncalculated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncareful,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncasual,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncelebrated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unchanneled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unchic,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unchivalrous,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unclasped,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncleanest,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unclenching,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncoachable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncoddled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncoerced,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
