Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
mecca,90,37,name.noun,79.11,11,1298392.0
proxies,11,3,noun,11,11,1274057.0
energizer,13,13,noun.name,11.2,11,1265855.0
scot,16,14,noun.verb.name,11.3.2,11,1250219.0
mismatch,11,8,noun,11,11,1241513.0
codex,17,7,noun.name,11.5,11,1224930.0
electricians,11,10,noun,11,11,1216354.0
mowers,11,7,noun,11,11,1208690.0
neutrino,12,7,noun.name,11.1,11,1185359.0
teflon,12,10,noun.name,11.1,11,1174667.0
gusts,11,11,noun,11,11,1147366.0
conveyance,11,10,noun,11,11,1133899.0
shading,16,15,noun.verb,11.5,11,1123541.0
stumble,100,95,verb.noun,89.11,11,1111648.0
legality,11,8,noun,11,11,1092442.0
fieldwork,11,10,noun,11,11,1088417.0
gaskets,12,11,noun.verb,11.1,11,1064503.0
joking,949,749,verb.noun.adjective,927.11.11,11,1059257.0
roam,173,125,verb.noun,162.11,11,1054358.0
hermitage,11,7,noun,11,11,1043143.0
outings,11,10,noun,11,11,1039301.0
finders,27,24,name.noun,18.11,11,1030500.0
fishnet,11,8,noun,11,11,1025386.0
abacus,12,10,noun.name,11.1,11,1017068.0
toiletries,11,11,noun,11,11,1007260.0
dazzle,51,43,verb.noun,40.11,11,1000224.0
inauguration,11,11,noun,11,11,999762.0
tolls,30,25,verb.noun,19.11,11,995273.0
simulators,11,8,noun,11,11,994420.0
choking,260,204,verb.noun.adjective,243.11.6,11,971485.0
teleconference,11,11,noun,11,11,967616.0
freezes,79,69,verb.noun,68.11,11,966045.0
primrose,20,16,noun.name,11.9,11,965703.0
hydra,23,15,name.noun,12.11,11,936887.0
screener,12,9,noun,11,11,929199.0
ramadan,11,7,noun,11,11,926182.0
cabot,85,20,name.noun.verb,66.11.8,11,925244.0
electrolyte,11,11,noun,11,11,924970.0
fantasia,36,7,name.noun,25.11,11,908540.0
vapour,11,9,noun,11,11,891492.0
proponent,11,10,noun,11,11,890334.0
wildflowers,11,10,noun,11,11,877094.0
noncompliance,11,7,noun,11,11,876981.0
lament,49,24,verb.noun,38.11,11,868477.0
brainstorming,20,18,noun.verb.adjective,11.8.1,11,853009.0
interpol,36,22,verb.noun.name,15.11.11,11,850320.0
bibs,13,11,noun.verb,11.2,11,819379.0
yucca,14,9,noun.name,11.3,11,812282.0
harvester,11,5,noun,11,11,812218.0
newborns,13,13,noun.name,11.2,11,810548.0
dystrophy,11,7,noun,11,11,802482.0
footballs,11,11,noun,11,11,802029.0
wolverines,12,12,noun.name,11.1,11,793978.0
vistas,11,11,noun,11,11,772687.0
unis,12,10,noun.name,11.1,11,771213.0
breakage,11,11,noun,11,11,747897.0
gizmos,11,10,noun,11,11,742625.0
fulfilment,11,11,noun,11,11,742294.0
bobs,12,10,noun.verb,11.2,11,738558.0
spinners,11,8,noun,11,11,732007.0
dickey,24,11,name.noun,13.11,11,731267.0
stringer,15,13,noun.name,11.4,11,728602.0
transporters,12,6,noun.name,11.1,11,725979.0
buyout,11,11,noun,11,11,719257.0
abusers,11,10,noun,11,11,715904.0
setups,12,10,noun,11,11,710211.0
wading,34,30,verb.noun,23.11,11,708872.0
utterance,11,11,noun,11,11,707360.0
spankings,11,10,noun,11,11,705693.0
encephalitis,11,9,noun,11,11,701939.0
nods,17,15,noun.verb,11.6,11,699860.0
dislikes,31,30,verb.noun,20.11,11,692897.0
rainwater,11,11,noun,11,11,682941.0
lobo,43,10,name.noun,32.11,11,682347.0
auger,11,6,noun,11,11,678597.0
agnostic,19,17,noun.adjective,11.8,11,677953.0
sequencer,11,9,noun,11,11,671784.0
jute,12,3,noun.name,11.2,11,666652.0
equivalency,11,7,noun,11,11,662890.0
harmonics,11,6,noun,11,11,662416.0
yonkers,48,18,name.noun,35.11,11,660092.0
pauses,16,13,noun.verb,11.5,11,658415.0
dona,11,8,noun,11,11,653056.0
adventurers,11,11,noun,11,11,651398.0
databank,11,5,noun,11,11,650258.0
henna,11,8,noun,11,11,646514.0
milieu,11,9,noun,11,11,636367.0
serrano,30,6,name.noun,19.11,11,632561.0
femoral,54,41,adjective.noun,43.11,11,627670.0
ruffle,29,24,verb.noun,18.11,11,617143.0
banknotes,11,8,noun,11,11,617061.0
scrapbooks,11,10,noun,11,11,616828.0
repeaters,11,7,noun,11,11,615492.0
hipster,12,11,noun.name,11.1,11,609542.0
fibrillation,11,9,noun,11,11,603564.0
fop,11,9,noun,11,11,597456.0
eruptions,11,11,noun,11,11,596161.0
jigs,11,6,noun,11,11,595902.0
precedents,11,11,noun,11,11,591579.0
pall,23,15,noun.name.verb,11.10.2,11,591376.0
exiles,11,8,noun,11,11,588295.0
blitzkrieg,16,14,noun.verb.name,11.4.1,11,588026.0
exclusivity,11,11,noun,11,11,580322.0
pram,11,7,noun,11,11,579211.0
creatinine,11,10,noun,11,11,568725.0
communicators,11,10,noun,11,11,564843.0
obstructions,11,11,noun,11,11,562728.0
foal,14,12,noun.verb,11.3,11,552193.0
enfants,11,10,noun,11,11,549165.0
reformer,11,9,noun,11,11,542609.0
lum,22,10,noun.name,11.11,11,542447.0
decanter,11,8,noun,11,11,540350.0
gnats,14,11,noun.verb,11.3,11,527105.0
booms,11,10,noun,11,11,524101.0
helios,44,7,name.noun,33.11,11,521342.0
borealis,14,10,noun.name,11.3,11,519979.0
verdicts,11,8,noun,11,11,514499.0
pecans,10,10,noun,11,11,514201.0
greyhounds,11,10,noun,11,11,513490.0
octagon,11,7,noun,11,11,512182.0
shipboard,11,11,noun,11,11,509427.0
teardrop,14,9,noun.verb.name,11.2.1,11,504587.0
bossa,15,7,noun.name,11.4,11,502642.0
flogging,25,22,verb.noun,14.11,11,501345.0
bodice,11,10,noun,11,11,499917.0
posey,28,2,name.noun,17.11,11,499031.0
sailboats,11,10,noun,11,11,496436.0
habitation,11,11,noun,11,11,495770.0
expanse,11,10,noun,11,11,495684.0
printouts,11,11,noun,11,11,494637.0
irritability,11,10,noun,11,11,492505.0
feasts,11,11,noun,11,11,490244.0
chapels,11,9,noun,11,11,489542.0
hyphen,11,10,noun,11,11,486821.0
adolph,42,20,name.noun,31.11,11,475399.0
commodores,11,10,noun,11,11,475066.0
lora,99,5,name.noun,88.11,11,473382.0
linings,11,9,noun,11,11,468204.0
brevity,11,8,noun,11,11,466461.0
lats,47,12,name.verb.noun,25.11.11,11,460627.0
yule,19,11,noun.name,11.8,11,459944.0
harpsichord,11,8,noun,11,11,454860.0
snowshoes,21,6,noun.name,11.10,11,452162.0
buffets,11,11,noun,11,11,449336.0
airlift,14,14,noun.verb,11.3,11,448594.0
goldeneye,13,1,noun.name,11.2,11,443731.0
tiaras,11,9,noun,11,11,442197.0
swath,11,11,noun,11,11,438339.0
medea,28,11,name.noun,17.11,11,437434.0
highlanders,12,9,noun,11,11,430992.0
allegory,12,10,noun,11,11,429906.0
cerebellum,12,11,noun.name,11.1,11,429572.0
sagebrush,15,13,noun.verb.name,11.2.2,11,425681.0
novelists,11,10,noun,11,11,422849.0
sitters,10,10,noun,11,11,422564.0
skylights,11,9,noun,11,11,420873.0
recitals,11,11,noun,11,11,418692.0
chairmanship,11,8,noun,11,11,418262.0
cig,12,12,noun.verb,11.1,11,417355.0
particulates,11,7,noun,11,11,407201.0
chagrin,11,10,noun,11,11,399509.0
backhoe,13,9,noun.verb,11.2,11,397275.0
shutout,12,10,noun.verb,11.1,11,390281.0
pragmatism,11,9,noun,11,11,388451.0
altruism,11,8,noun,11,11,388194.0
permanence,11,10,noun,11,11,386058.0
storyboard,11,8,noun,11,11,385814.0
dirge,9,8,noun,11,11,384505.0
staffer,12,12,noun.name,11.1,11,384057.0
mirth,11,11,noun,11,11,381439.0
marvels,11,10,noun,11,11,379445.0
pennants,11,8,noun,11,11,377316.0
consonants,11,10,noun,11,11,377175.0
parkin,13,11,noun.name,11.1,11,375624.0
bunt,41,20,name.verb.noun,16.13.11,11,374480.0
scribble,32,22,verb.noun,21.11,11,374119.0
agitator,11,11,noun,11,11,373101.0
groomsmen,11,9,noun,11,11,365191.0
moldings,11,9,noun,11,11,363579.0
vandal,15,10,noun.name,11.4,11,361110.0
breadcrumbs,11,10,noun,11,11,360436.0
environmentalist,13,11,noun.name.adjective,11.1.1,11,360182.0
swirls,17,15,noun.verb,11.6,11,357995.0
namesake,11,11,noun,11,11,357436.0
belladonna,11,7,noun,11,11,357136.0
chamois,11,10,noun,11,11,355905.0
chalkboard,12,12,noun.name,11.1,11,354556.0
viaduct,11,4,noun,11,11,353677.0
antagonism,11,11,noun,11,11,352995.0
nags,19,16,noun.verb,11.8,11,347402.0
hopelessness,11,9,noun,11,11,346758.0
hyperbole,11,11,noun,11,11,343911.0
cogs,19,11,noun.verb.name,11.4.4,11,341581.0
talc,12,7,noun.name,11.1,11,341339.0
connotations,11,11,noun,11,11,337876.0
herder,38,13,name.noun,27.11,11,335972.0
curiosities,11,8,noun,11,11,335224.0
meteorologist,11,9,noun,11,11,334830.0
taster,12,12,noun.name,11.1,11,334583.0
punters,11,11,noun,11,11,334365.0
nary,14,12,noun.adjective,11.3,11,334106.0
hobbyists,11,3,noun,11,11,331684.0
thrashing,35,34,verb.noun,24.11,11,327460.0
aficionado,11,10,noun,11,11,326331.0
crag,19,11,noun.name,11.8,11,325657.0
capillaries,11,11,noun,11,11,322891.0
chaka,26,10,name.noun,14.11,11,321285.0
fortifications,11,7,noun,11,11,320616.0
garlands,11,11,noun,11,11,314755.0
boldness,11,11,noun,11,11,314341.0
geyser,11,10,noun,11,11,313513.0
seaplane,11,8,noun,11,11,309463.0
lait,11,8,noun,11,11,309050.0
smacks,42,40,verb.noun,31.11,11,306534.0
basta,15,11,noun.name,11.4,11,306217.0
cunnilingus,11,8,noun,11,11,306162.0
deformities,12,10,noun.name,11.1,11,303360.0
carne,25,11,name.noun,14.11,11,299731.0
gremlin,11,9,noun,11,11,297178.0
positivity,12,9,noun.name,11.1,11,296670.0
snore,82,72,verb.noun,71.11,11,294125.0
creepers,11,7,noun,11,11,293691.0
chives,15,14,noun.verb,11.4,11,288208.0
auxiliaries,11,10,noun,11,11,287880.0
lineups,11,8,noun,11,11,285616.0
tracers,12,7,noun.name,11.1,11,284446.0
paperweights,11,7,noun,11,11,281514.0
bedouin,13,9,noun.name,11.2,11,280676.0
finches,13,8,noun.name,11.2,11,280095.0
brainchild,11,11,noun,11,11,275720.0
dozer,19,9,noun.name,11.8,11,275217.0
gastritis,11,7,noun,11,11,274941.0
tibetans,11,4,noun,11,11,272791.0
underdogs,11,10,noun,11,11,271664.0
phenobarbital,11,8,noun,11,11,270886.0
ahi,15,8,noun.name.adjective,11.1.1,11,270786.0
mayberry,46,22,name.noun,35.11,11,268132.0
skippers,11,10,noun,11,11,261988.0
macaw,12,5,noun.verb,11.1,11,261749.0
renunciation,11,4,noun,11,11,260295.0
lolly,11,11,noun,11,11,259984.0
suppositories,11,8,noun,11,11,259429.0
inclinations,11,10,noun,11,11,255690.0
pythons,13,9,noun.name,11.2,11,252842.0
valour,15,13,noun.verb,11.4,11,252201.0
snub,20,16,noun.verb,11.9,11,251783.0
unfairness,11,8,noun,11,11,250443.0
pluses,11,7,noun,11,11,243935.0
cliques,11,9,noun,11,11,243428.0
urinals,11,11,noun,11,11,242267.0
boilerplate,19,19,noun.verb,11.7,11,240559.0
lifelines,11,5,noun,11,11,240061.0
silences,26,24,verb.noun,15.11,11,237335.0
tyrannosaurus,20,15,noun.name,11.9,11,236865.0
honeydew,14,11,noun.name.verb,11.2.1,11,236842.0
segue,26,24,verb.noun,15.11,11,234120.0
twirl,67,53,verb.noun,56.11,11,234072.0
noo,11,10,noun,11,11,233938.0
denizens,11,10,noun,11,11,233905.0
paella,14,10,noun.name,11.3,11,233696.0
convoys,11,9,noun,11,11,233546.0
wheelie,11,7,noun,11,11,233197.0
aircrafts,11,9,noun,11,11,232559.0
cistern,11,8,noun,11,11,231498.0
heavyweights,11,11,noun,11,11,229992.0
calliope,14,8,noun.verb.name,11.2.1,11,227613.0
gatherers,11,10,noun,11,11,220572.0
repute,11,11,noun,11,11,219852.0
scabbard,11,10,noun,11,11,219841.0
spry,32,28,adjective.noun,21.11,11,217147.0
crips,19,18,noun.name,11.8,11,211540.0
farthing,13,11,noun.name,11.2,11,210406.0
confessor,12,12,noun,11,11,209040.0
aftertaste,11,9,noun,11,11,206774.0
beautician,11,10,noun,11,11,205915.0
suet,11,7,noun,11,11,204581.0
conspirator,11,10,noun,11,11,203178.0
acrobatics,11,10,noun,11,11,202967.0
restorer,11,8,noun,11,11,202772.0
godliness,17,13,noun.name,11.6,11,202410.0
protectorate,11,6,noun,11,11,201397.0
sabers,12,10,noun.verb,11.1,11,201133.0
saracens,11,6,noun,11,11,199820.0
triceps,13,13,noun.verb,11.2,11,199763.0
bolsheviks,11,8,noun,11,11,197902.0
heaviness,11,10,noun,11,11,197240.0
chintz,11,9,noun,11,11,196209.0
smithy,63,11,name.noun,52.11,11,194407.0
gobi,14,7,noun.adjective.name,11.2.1,11,193497.0
headstones,11,10,noun,11,11,192116.0
