Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Verb_freq,Web_freq
lunched,4,4,verb,4,4,40922.0
dissembling,5,4,verb.adjective,4.1,4,40301.0
daff,6,2,verb.name,4.2,4,40288.0
intimating,4,3,verb,4,4,40278.0
detuned,4,2,verb,4,4,40079.0
tramped,4,4,verb,4,4,40051.0
hungers,9,9,noun.verb,5.4,4,39918.0
allying,4,4,verb,4,4,39912.0
hooted,4,4,verb,4,4,39792.0
startles,4,4,verb,4,4,39396.0
enchants,4,4,verb,4,4,39348.0
reacquainted,18,17,adjective.verb,14.4,4,39273.0
pouts,5,5,verb.noun,4.1,4,38976.0
alack,6,6,verb.noun.name,4.1.1,4,38913.0
preplanned,4,3,verb,4,4,38821.0
bludgeoning,6,6,verb.noun.adjective,4.1.1,4,38558.0
obliterates,4,4,verb,4,4,38488.0
steeled,4,4,verb,4,4,38423.0
tingled,4,4,verb,4,4,38194.0
handcuffing,5,5,verb.noun,4.1,4,38177.0
larn,4,1,verb,4,4,38056.0
stabled,4,4,verb,4,4,37984.0
blurts,5,5,verb.noun,4.1,4,37927.0
whooshing,6,6,verb.noun.name,4.1.1,4,37832.0
glom,5,5,verb.noun,4.1,4,37546.0
scatting,4,4,verb,4,4,37527.0
jimsonweed,12,4,noun.verb,8.4,4,37119.0
partaken,4,4,verb,4,4,36989.0
inflames,4,3,verb,4,4,36415.0
leaches,4,4,verb,4,4,36089.0
scenting,4,4,verb,4,4,36086.0
acing,4,4,verb,4,4,35956.0
biopsied,4,3,verb,4,4,35917.0
swaddle,4,4,verb,4,4,35737.0
reawakened,4,4,verb,4,4,35599.0
relining,4,3,verb,4,4,35422.0
ejaculates,5,5,verb.noun,4.1,4,35404.0
pounces,4,4,verb,4,4,34919.0
inchworm,12,5,noun.verb,8.4,4,34718.0
balking,4,4,verb,4,4,34486.0
editorializing,5,4,verb.noun,4.1,4,34408.0
bloop,6,2,verb.noun,4.1,4,33990.0
quadruples,4,4,verb,4,4,33825.0
disfigure,4,4,verb,4,4,33659.0
mattocks,16,2,noun.name.verb,7.5.4,4,33603.0
sanctifies,4,4,verb,4,4,33293.0
sympathizes,4,4,verb,4,4,33156.0
sadden,4,4,verb,4,4,33046.0
goading,6,5,verb.noun,4.2,4,32939.0
absolves,4,3,verb,4,4,32912.0
deadened,4,4,verb,4,4,32760.0
mistrusted,4,4,verb,4,4,32734.0
bedbug,15,8,noun.verb,11.4,4,32693.0
desensitize,4,4,verb,4,4,32656.0
toodle,4,4,verb,4,4,32399.0
misfiring,5,5,verb.noun,4.1,4,32397.0
excommunicate,5,4,verb.adjective,4.1,4,32335.0
stashes,5,5,verb.noun,4.1,4,32159.0
retook,4,4,verb,4,4,32039.0
misconstrue,5,5,verb.name,4.1,4,31870.0
abscond,5,5,verb.noun,4.1,4,31834.0
defecating,4,4,verb,4,4,31815.0
torqued,4,4,verb,4,4,31798.0
constricts,4,4,verb,4,4,31666.0
gropes,4,3,verb,4,4,31409.0
vouches,4,4,verb,4,4,31393.0
plebe,28,9,noun.verb.name,20.4.4,4,30111.0
blaspheming,4,4,verb,4,4,30093.0
catapulting,4,4,verb,4,4,30036.0
misbehaves,10,10,noun.verb,6.4,4,30032.0
decompensated,4,4,verb,4,4,29822.0
disabuse,4,4,verb,4,4,29743.0
parboiled,6,6,verb.adjective,4.1,4,29246.0
mollified,4,4,verb,4,4,29140.0
fantasises,4,3,verb,4,4,29044.0
scuffling,9,8,verb.noun.adjective,4.3.2,4,28965.0
incarcerating,4,4,verb,4,4,28338.0
hawked,4,4,verb,4,4,28015.0
ravening,5,2,verb.adjective,4.1,4,27822.0
memorising,4,4,verb,4,4,27749.0
dispossess,4,4,verb,4,4,27639.0
filleted,4,4,verb,4,4,27370.0
damns,5,5,verb.noun,4.1,4,26728.0
eking,4,4,verb,4,4,26695.0
recollects,4,2,verb,4,4,26646.0
reacquire,4,4,verb,4,4,26421.0
demoralising,4,2,verb,4,4,26204.0
bobsledding,9,4,verb.adjective.noun.name,4.3.1.1,4,25938.0
lanced,6,6,verb.adjective,4.2,4,25881.0
wheezes,11,10,noun.verb,7.4,4,25728.0
bilking,4,4,verb,4,4,25702.0
menstruate,4,4,verb,4,4,25637.0
feigns,4,4,verb,4,4,25411.0
frack,10,7,verb.noun.name,4.3.3,4,25385.0
crinkles,5,3,verb.noun,4.1,4,25307.0
redleg,4,1,verb,4,4,25066.0
plopping,6,5,verb.noun.name,4.1.1,4,24999.0
regaling,4,4,verb,4,4,24728.0
gyrate,4,4,verb,4,4,24690.0
grousing,8,8,verb.noun,4.4,4,24670.0
reprimanding,4,4,verb,4,4,24413.0
indoctrinating,4,3,verb,4,4,24187.0
whithersoever,4,2,verb,4,4,24184.0
brutalize,4,4,verb,4,4,24174.0
dishonoring,4,4,verb,4,4,23948.0
scuppered,4,4,verb,4,4,23932.0
wisecrack,14,14,noun.verb,10.4,4,23832.0
birdbrain,12,11,noun.verb,8.4,4,23340.0
overusing,4,4,verb,4,4,22902.0
turfed,4,4,verb,4,4,22645.0
striked,4,4,verb,4,4,22555.0
