step,6052,3343,4533,2864,"118,67","3,7820","39,85","3,5243"
air,7090,3325,6023,3132,"139,02","3,8507","39,64","3,5219"
fall,6044,3322,5510,3231,"118,51","3,7814","39,60","3,5215"
city,8624,3321,5760,2637,"169,10","3,9358","39,59","3,5214"
meeting,6752,3307,6589,3256,"132,39","3,8295","39,43","3,5196"
worth,5569,3301,5387,3248,"109,20","3,7459","39,35","3,5188"
country,8254,3298,8030,3244,"161,84","3,9167","39,32","3,5184"
company,7507,3283,6473,3073,"147,20","3,8755","39,14","3,5164"
handle,5529,3272,5439,3255,"108,41","3,7427","39,01","3,5149"
shoot,8412,3264,6828,2894,"164,94","3,9250","38,91","3,5139"
control,6662,3263,5978,3139,"130,63","3,8237","38,90","3,5138"
book,9026,3244,8226,3075,"176,98","3,9555","38,67","3,5112"
poor,6583,3224,4713,2608,"129,08","3,8185","38,44","3,5085"
eye,5701,3216,5464,3157,"111,78","3,7560","38,34","3,5075"
beat,6716,3192,6006,3002,"131,69","3,8272","38,05","3,5042"
black,8565,3190,6530,2787,"167,94","3,9328","38,03","3,5039"
picture,7061,3178,6868,3119,"138,45","3,8489","37,89","3,5023"
pass,5514,3148,4686,2877,"108,12","3,7415","37,53","3,4982"
quiet,5978,3135,4377,2683,"117,22","3,7766","37,37","3,4964"
anywhere,4501,3133,4189,2987,"88,25","3,6534","37,35","3,4961"
wear,5576,3127,5290,3033,"109,33","3,7464","37,28","3,4953"
finish,5045,3124,4582,2942,"98,92","3,7029","37,24","3,4949"
mistake,5200,3121,5156,3115,"101,96","3,7161","37,21","3,4944"
ride,6904,3116,6576,3054,"135,37","3,8392","37,15","3,4937"
fault,5310,3101,5291,3091,"104,12","3,7252","36,97","3,4916"
choice,4975,3095,4925,3072,"97,55","3,6969","36,90","3,4908"
act,5565,3086,5100,2923,"109,12","3,7455","36,79","3,4895"
child,8040,3067,7673,2995,"157,65","3,9053","36,56","3,4869"
dog,9835,3049,8851,2935,"192,84","3,9928","36,35","3,4843"
sister,9207,3046,7971,2911,"180,53","3,9642","36,31","3,4839"
red,7551,3042,4353,2450,"148,06","3,8781","36,27","3,4833"
coffee,7371,3039,6559,2876,"144,53","3,8676","36,23","3,4829"
mouth,5325,3022,5133,2979,"104,41","3,7264","36,03","3,4804"
yesterday,4935,3020,4221,2724,"96,76","3,6934","36,00","3,4802"
attention,5032,3000,3854,2620,"98,67","3,7018","35,77","3,4773"
stick,4953,2995,4136,2677,"97,12","3,6950","35,71","3,4765"
daughter,8739,2993,8576,2957,"171,35","3,9415","35,68","3,4763"
date,7218,2987,7068,2947,"141,53","3,8585","35,61","3,4754"
power,7600,2980,7049,2854,"149,02","3,8809","35,53","3,4744"
