Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Noun_freq
hotel,5264,2021,4201,1797,103.22,3.7214,24.09,3.3058,Noun,5241.0,1.0,Noun.Name,5241.14,5241
officer,5265,2026,3313,1580,103.24,3.7215,24.15,3.3069,Noun,5229.0,1.0,Noun.Name,5229.24,5229
agent,5235,1399,2519,1158,102.65,3.719,16.68,3.1461,Noun,5209.0,1.0,Noun.Name,5209.2,5209
wedding,5173,1654,5011,1633,101.43,3.7138,19.72,3.2188,Noun,5169.0,1.0,Noun.Verb.Name,5169.3.2,5169
clothes,5158,2790,5060,2761,101.14,3.7126,33.26,3.4458,Noun,5141.0,1.0,Noun.Verb.Name,5141.16.1,5141
lord,7046,1994,1421,360,138.16,3.848,23.77,3.2999,Noun,5117.0,0.73,Noun.Name.Verb,5117.1903.5,5117
floor,5132,2732,5030,2699,100.63,3.7104,32.57,3.4366,Noun,5099.0,0.99,Noun.Verb.Name,5099.31.1,5099
court,5137,1839,4464,1693,100.73,3.7108,21.92,3.2648,Noun,5089.0,0.99,Noun.Verb.Name,5089.35.14,5089
mistake,5200,3121,5156,3115,101.96,3.7161,37.21,3.4944,Noun,5088.0,0.98,Noun.Verb.Name,5088.103.2,5088
earth,5074,2339,2773,1703,99.49,3.7054,27.89,3.3692,Noun,5058.0,1.0,Noun.Name,5058.9,5058
dude,5071,1581,2783,1222,99.43,3.7052,18.85,3.1992,Noun,5050.0,1.0,Noun.Name,5050.13,5050
attention,5032,3000,3854,2620,98.67,3.7018,35.77,3.4773,Noun,5016.0,1.0,Noun,5016,5016
murder,5717,2046,5277,1977,112.1,3.7572,24.39,3.3111,Noun,4981.0,0.87,Noun.Verb,4981.714,4981
club,5038,2156,3698,1745,98.78,3.7023,25.7,3.3339,Noun,4959.0,0.99,Noun.Name.Verb,4959.19.12,4959
choice,4975,3095,4925,3072,97.55,3.6969,36.9,3.4908,Noun,4950.0,1.0,Noun.Adjective.Verb,4950.20.1,4950
birthday,4958,1672,4766,1642,97.22,3.6954,19.93,3.2235,Noun,4941.0,1.0,Noun.Name,4941.1,4941
pain,4995,2568,4767,2516,97.94,3.6986,30.62,3.4098,Noun,4938.0,0.99,Noun.Verb,4938.40,4938
boat,4885,1457,4750,1426,95.78,3.689,17.37,3.1638,Noun,4885.0,1.0,Noun.Verb,4885.4,4885
plane,4872,1691,4782,1671,95.53,3.6878,20.16,3.2284,Noun,4865.0,1.0,Noun.Verb,4865.5,4865
month,4854,2895,4782,2866,95.18,3.6862,34.51,3.4618,Noun,4848.0,1.0,Noun,4848,4848
order,7985,3825,7264,3695,156.57,3.9023,45.6,3.5827,Noun,4795.0,0.6,Noun.Verb.Conjunction,4795.2119.1059,4795
security,4810,2046,3768,1785,94.31,3.6822,24.39,3.3111,Noun,4792.0,1.0,Noun.Name,4792.2,4792
state,5500,2669,3976,2195,107.84,3.7404,31.82,3.4265,Noun,4740.0,0.86,Noun.Verb.Name,4740.624.135,4740
song,4778,1946,4447,1867,93.69,3.6793,23.2,3.2894,Noun,4735.0,0.99,Noun.Name,4735.31,4735
ship,5043,1163,4894,1136,98.88,3.7028,13.87,3.066,Noun,4729.0,0.94,Noun.Verb.Name,4729.304.5,4729
talk,43605,7619,41204,7559,855.0,4.6395,90.83,3.882,Verb,38850.0,0.89,Verb.Noun,38850.4714,4714
horse,4737,1577,4472,1488,92.88,3.6756,18.8,3.1981,Noun,4695.0,1.0,Noun.Verb.Name,4695.12.3,4695
control,6662,3263,5978,3139,130.63,3.8237,38.9,3.5138,Noun,4682.0,0.7,Noun.Verb.Name,4682.1962.2,4682
message,4667,2424,4509,2392,91.51,3.6691,28.9,3.3847,Noun,4667.0,1.0,Noun,4667,4667
system,4667,2240,4500,2200,91.51,3.6691,26.7,3.3504,Noun,4664.0,1.0,Noun,4664,4664
afternoon,4666,2597,4410,2505,91.49,3.669,30.96,3.4146,Noun,4660.0,1.0,Noun,4660,4660
bag,4796,2508,4600,2458,94.04,3.681,29.9,3.3995,Noun,4632.0,0.97,Noun.Verb.Name,4632.155.1,4632
meeting,6752,3307,6589,3256,132.39,3.8295,39.43,3.5196,Noun,4608.0,0.68,Noun.Verb,4608.2138,4608
information,4557,2373,4449,2344,89.35,3.6588,28.29,3.3755,Noun,4552.0,1.0,Noun,4552,4552
thought,41232,7829,39986,7791,808.47,4.6152,93.34,3.8938,Verb,36768.0,0.89,Verb.Noun,36768.4441,4441
box,4577,2353,4355,2296,89.75,3.6607,28.05,3.3718,Noun,4388.0,0.96,Noun.Verb.Name,4388.181.6,4388
window,4386,2442,4287,2410,86.0,3.6422,29.11,3.3879,Noun,4378.0,1.0,Noun,4378,4378
army,4370,1506,2796,1138,85.69,3.6406,17.95,3.1781,Noun,4363.0,1.0,Noun.Name,4363.1,4363
future,5278,2631,5099,2607,103.49,3.7226,31.37,3.4203,Noun,4361.0,0.83,Noun.Adjective.Name,4361.909.2,4361
buddy,5247,2321,4328,2189,102.88,3.72,27.67,3.3659,Noun,4360.0,0.83,Noun.Name,4360.879,4360
honor,4912,1887,2989,1578,96.31,3.6913,22.5,3.276,Noun,4347.0,0.88,Noun.Verb.Name,4347.566.2,4347
card,4357,2107,4236,2076,85.43,3.6393,25.12,3.3239,Noun,4343.0,1.0,Noun.Verb,4343.10,4343
college,4344,1921,3918,1801,85.18,3.638,22.9,3.2838,Noun,4343.0,1.0,Noun.Name,4343.2,4343
building,5078,2411,4690,2305,99.57,3.7058,28.74,3.3824,Noun,4332.0,0.85,Noun.Verb,4332.740,4332
evidence,4335,1755,4177,1721,85.0,3.6371,20.92,3.2445,Noun,4332.0,1.0,Noun,4332,4332
history,4280,2416,3908,2307,83.92,3.6315,28.8,3.3833,Noun,4276.0,1.0,Noun.Name,4276.2,4276
