Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
till,8503,4158,7743,3975,166.73,3.9296,49.57,3.619,Conjunction,5006.0,0.59,Conjunction.Preposition.Noun.Verb.Name,5006.3398.78.4.4,3398
upon,3199,1817,3045,1749,62.73,3.5051,21.66,3.2596,Preposition,3198.0,1.0,Preposition,3198,3198
inside,10775,4811,10252,4715,211.27,4.0325,57.36,3.6823,Adverb,6196.0,0.58,Adverb.Preposition.Noun.Adjective.Name,6196.3145.1088.329.2,3145
near,4238,2814,4055,2741,83.1,3.6273,33.55,3.4495,Preposition,3016.0,0.71,Preposition.Adverb.Adjective.Verb,3016.915.192.107,3016
within,3017,1983,2740,1873,59.16,3.4797,23.64,3.2975,Preposition,2813.0,0.93,Preposition.Adverb,2813.203,2813
outside,8671,4429,8207,4324,170.02,3.9381,52.8,3.6464,Adverb,4675.0,0.54,Adverb.Preposition.Adjective.Noun.Name,4675.2679.1227.81.1,2679
along,9330,4314,9089,4242,182.94,3.9699,51.43,3.635,Adverb,6659.0,0.71,Adverb.Preposition,6659.2672,2672
but,225291,8350,121176,8308,4417.47,5.3527,99.55,3.9217,Conjunction,221517.0,0.98,Conjunction.Preposition.Adverb.Noun,221517.2668.708.2,2668
instead,4043,2822,3268,2409,79.27,3.6068,33.64,3.4507,Preposition,2433.0,0.6,Preposition.Adverb.Conjunction.Noun,2433.1441.156.4,2433
until,15426,6129,13619,5812,302.47,4.1883,73.07,3.7875,Conjunction,13151.0,0.85,Conjunction.Preposition.Noun,13151.2263.6,2263
next,23090,7001,19402,6657,452.75,4.3634,83.46,3.8452,Number,20840.0,0.9,Number.Preposition.Noun,20840.2222.2,2222
except,5696,3610,3434,2472,111.69,3.7556,43.04,3.5576,Conjunction,3516.0,0.62,Conjunction.Preposition.Verb,3516.2162.16,2162
according,2135,1571,1006,837,41.86,3.3296,18.73,3.1965,Preposition,2113.0,0.99,Preposition.Verb.Conjunction.Noun.Adjective,2113.15.4.1.1,2113
beyond,2200,1496,1982,1407,43.14,3.3426,17.84,3.1752,Preposition,1951.0,0.89,Preposition.Adverb.Noun,1951.223.23,1951
past,6312,3633,6153,3582,123.76,3.8002,43.31,3.5604,Noun,2191.0,0.35,Noun.Preposition.Adjective.Adverb,2191.1947.1585.584,1947
onto,1871,1429,1858,1425,36.69,3.2723,17.04,3.1553,Preposition,1871.0,1.0,Preposition,1871,1871
above,2493,1778,2350,1703,48.88,3.3969,21.2,3.2502,Preposition,1770.0,0.71,Preposition.Adverb.Adjective,1770.608.110,1770
among,1729,1273,1541,1153,33.9,3.238,15.18,3.1052,Preposition,1732.0,1.0,Preposition,1732,1732
since,16064,6285,12715,5744,314.98,4.2059,74.93,3.7984,Conjunction,13515.0,0.84,Conjunction.Preposition.Adverb,13515.1658.875,1658
re,311072,8268,310952,8264,6099.45,5.4929,98.57,3.9175,Preposition,1627.0,0.97,Preposition.Name,1627.42,1627
towards,1399,1108,1350,1084,27.43,3.1461,13.21,3.0449,Preposition,1399.0,1.0,Preposition,1399,1399
including,1405,1159,1116,934,27.55,3.148,13.82,3.0645,Preposition,1339.0,0.96,Preposition.Verb,1339.63,1339
plus,2399,1619,1125,850,47.04,3.3802,19.3,3.2095,Preposition,1241.0,0.52,Preposition.Noun.Adverb.Conjunction,1241.973.129.49,1241
toward,1169,879,1132,856,22.92,3.0682,10.48,2.9445,Preposition,1166.0,1.0,Preposition,1166,1166
top,6805,3606,6080,3440,133.43,3.8329,42.99,3.5571,Noun,3655.0,0.54,Noun.Adjective.Preposition.Verb.Name,3655.1807.1111.226.2,1111
than,37679,7770,37398,7760,738.8,4.5761,92.63,3.8905,Conjunction,36612.0,0.97,Conjunction.Preposition,36612.1047,1047
