Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Verb_freq
fucked,2291,865,2213,851,44.92,3.3602,10.31,2.9375,Verb,2084.0,0.91,Verb.Adjective.Name,2084.179.23,2084
reading,3133,1988,2974,1924,61.43,3.4961,23.7,3.2986,Verb,2083.0,0.67,Verb.Noun.Name,2083.954.89,2083
threw,2082,1552,2026,1529,40.82,3.3187,18.5,3.1912,Verb,2081.0,1.0,Verb,2081,2081
hiding,2207,1567,2081,1508,43.27,3.344,18.68,3.1953,Verb,2074.0,0.94,Verb.Noun.Adjective,2074.120.12,2074
ready,19778,6398,16707,6105,387.8,4.2962,76.28,3.8061,Adjective,17250.0,0.87,Adjective.Verb.Adverb,17250.2056.453,2056
breaking,2155,1608,2008,1521,42.25,3.3336,19.17,3.2066,Verb,2047.0,0.95,Verb.Noun.Name,2047.104.2,2047
invited,2064,1459,2031,1435,40.47,3.3149,17.39,3.1644,Verb,2045.0,0.99,Verb.Adjective,2045.20,2045
treat,2646,1835,2490,1767,51.88,3.4228,21.88,3.2639,Verb,2039.0,0.77,Verb.Noun,2039.604,2039
roll,3227,1914,2636,1664,63.27,3.5089,22.82,3.2822,Verb,2030.0,0.65,Verb.Noun.Name,2030.1075.1,2030
suggest,2001,1485,1966,1475,39.24,3.3015,17.7,3.172,Verb,2004.0,1.0,Verb.Noun,2004.1,2004
pretend,2056,1565,1828,1417,40.31,3.3132,18.66,3.1948,Verb,1994.0,0.97,Verb.Adjective,1994.60,1994
place,30736,7279,30163,7246,602.67,4.4877,86.78,3.8621,Noun,28698.0,0.93,Noun.Verb.Preposition.Name,28698.1993.29.12,1993
fit,2937,2090,2830,2057,57.59,3.4681,24.92,3.3204,Verb,1982.0,0.68,Verb.Adjective.Noun,1982.879.75,1982
letting,1995,1628,1892,1565,39.12,3.3002,19.41,3.2119,Verb,1975.0,0.99,Verb.Noun,1975.15,1975
calls,4097,2636,4018,2605,80.33,3.6126,31.43,3.4211,Noun,2124.0,0.52,Noun.Verb,2124.1972,1972
cares,2023,1555,2014,1548,39.67,3.3062,18.54,3.192,Verb,1969.0,0.97,Verb.Noun,1969.55,1969
control,6662,3263,5978,3139,130.63,3.8237,38.9,3.5138,Noun,4682.0,0.7,Noun.Verb.Name,4682.1962.2,1962
spoke,1970,1505,1945,1490,38.63,3.2947,17.94,3.1778,Verb,1958.0,0.99,Verb.Noun,1958.14,1958
arrived,1949,1419,1933,1410,38.22,3.29,16.92,3.1523,Verb,1943.0,1.0,Verb.Noun,1943.1,1943
smoke,3337,1883,3003,1780,65.43,3.5235,22.45,3.2751,Verb,1933.0,0.58,Verb.Noun,1933.1401,1933
hurts,1907,1378,1854,1343,37.39,3.2806,16.43,3.1396,Verb,1904.0,1.0,Verb.Noun,1904.2,1904
serve,1935,1361,1840,1319,37.94,3.2869,16.23,3.1342,Verb,1897.0,0.98,Verb.Noun,1897.34,1897
last,36878,7731,33303,7591,723.1,4.5668,92.17,3.8883,Number,33942.0,0.92,Number.Verb.Adverb.Noun.Name,33942.1890.969.32.14,1890
sees,1899,1467,1878,1458,37.24,3.2788,17.49,3.1667,Verb,1889.0,1.0,Verb.Noun,1889.3,1889
report,5508,2621,5109,2527,108.0,3.7411,31.25,3.4186,Noun,3612.0,0.66,Noun.Verb,3612.1887,1887
involved,3465,2164,3441,2160,67.94,3.5398,25.8,3.3355,Verb,1882.0,0.54,Verb.Adjective,1882.1584,1882
own,23419,6937,23356,6932,459.2,4.3696,82.7,3.8412,Determiner,21508.0,0.92,Determiner.Verb,21508.1882,1882
