Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adverb_freq
upside,474,405,451,390,9.29,2.6767,4.83,2.6085,Adverb,349.0,0.74,Adverb.Noun.Adjective.Name,349.122.2.1,349
cool,9990,3670,7778,3271,195.88,3.9996,43.75,3.5648,Adjective,8355.0,0.84,Adjective.Verb.Adverb.Noun.Name,8355.1159.347.92.26,347
rarely,342,315,314,292,6.71,2.5353,3.76,2.4997,Adverb,342.0,1.0,Adverb,342,342
strongly,342,300,336,298,6.71,2.5353,3.58,2.4786,Adverb,342.0,1.0,Adverb,342,342
private,3874,2257,3215,2108,75.96,3.5883,26.91,3.3537,Adjective,3313.0,0.86,Adjective.Adverb.Noun,3313.329.231,329
altogether,327,269,307,255,6.41,2.5159,3.21,2.4314,Adverb,327.0,1.0,Adverb,327,327
luckily,326,294,74,69,6.39,2.5145,3.51,2.4698,Adverb,326.0,1.0,Adverb,326,326
hereby,325,271,325,271,6.37,2.5132,3.23,2.4346,Adverb,325.0,1.0,Adverb,325,325
front,9259,4589,8995,4530,181.55,3.9666,54.71,3.6618,Preposition,4124.0,0.45,Preposition.Noun.Adjective.Adverb.Verb.Name,4124.2504.2162.322.127.9,322
deliberately,319,269,314,266,6.25,2.5051,3.21,2.4314,Adverb,319.0,1.0,Adverb,319,319
ashore,317,168,311,166,6.22,2.5024,2.0,2.2279,Adverb,317.0,1.0,Adverb,317,317
nearby,425,376,409,364,8.33,2.6294,4.48,2.5763,Adverb,316.0,0.74,Adverb.Adjective,316.109,316
elsewhere,315,283,293,266,6.18,2.4997,3.37,2.4533,Adverb,314.0,0.99,Adverb.Name,314.2,314
heavily,312,277,297,265,6.12,2.4955,3.3,2.444,Adverb,312.0,1.0,Adverb,312,312
positively,310,278,248,224,6.08,2.4928,3.31,2.4456,Adverb,310.0,1.0,Adverb,310,310
correctly,309,282,305,278,6.06,2.4914,3.36,2.4518,Adverb,309.0,1.0,Adverb,309,309
ill,1085,698,1060,686,21.27,3.0358,8.32,2.8445,Name,1650.0,0.49,Name.Adjective.Adverb.Noun,1650.1429.306.2,306
underneath,829,692,726,623,16.25,2.9191,8.25,2.8407,Preposition,518.0,0.62,Preposition.Adverb.Noun,518.302.9,302
case,14403,4885,14006,4849,282.41,4.1585,58.24,3.689,Noun,11861.0,0.82,Noun.Conjunction.Adverb.Preposition.Name.Verb,11861.1990.300.160.62.28,300
loose,2131,1508,2060,1474,41.78,3.3288,17.98,3.1787,Adjective,1466.0,0.69,Adjective.Adverb.Verb.Noun,1466.300.212.150,300
sound,7313,4069,6839,3922,143.39,3.8642,48.51,3.6096,Verb,3480.0,0.48,Verb.Noun.Adverb.Adjective.Name,3480.3386.300.140.1,300
nevertheless,301,236,107,75,5.9,2.48,2.81,2.3747,Adverb,298.0,1.0,Adverb,298,298
desperately,297,267,276,251,5.82,2.4742,3.18,2.4281,Adverb,297.0,1.0,Adverb,297,297
evidently,298,264,118,112,5.84,2.4757,3.15,2.4232,Adverb,297.0,1.0,Adverb,297,297
real,22583,6453,21376,6375,442.8,4.3538,76.93,3.8098,Adjective,22283.0,0.99,Adjective.Adverb.Noun,22283.292.13,292
between,8932,4654,8431,4504,175.14,3.951,55.48,3.6679,Preposition,8585.0,0.96,Preposition.Adverb.Adjective.Noun,8585.291.30.1,291
mentally,290,230,270,215,5.69,2.4639,2.74,2.3636,Adverb,290.0,1.0,Adverb,290,290
ultimately,288,241,234,199,5.65,2.4609,2.87,2.3838,Adverb,288.0,1.0,Adverb,288,288
particular,1423,1096,1418,1095,27.9,3.1535,13.07,3.0402,Adjective,1129.0,0.79,Adjective.Adverb.Noun.Name,1129.281.10.2,281
importantly,278,259,278,259,5.45,2.4456,3.09,2.415,Adverb,278.0,1.0,Adverb,278,278
anyplace,277,247,239,218,5.43,2.444,2.94,2.3945,Adverb,277.0,1.0,Adverb,277,277
equally,274,242,261,232,5.37,2.4393,2.89,2.3856,Adverb,276.0,1.0,Adverb,276,276
