Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adjective_freq
kind,30125,7317,28973,7259,590.69,4.4789,87.23,3.8644,Noun,21140.0,0.7,Noun.Adverb.Adjective,21140.7926.1040,1040
fabulous,1046,679,857,605,20.51,3.0199,8.09,2.8325,Adjective,1037.0,1.0,Adjective,1037,1037
successful,1037,847,1009,827,20.33,3.0162,10.1,2.9284,Adjective,1035.0,1.0,Adjective,1035,1035
male,1731,1106,1556,1012,33.94,3.2385,13.19,3.0441,Adjective,1033.0,0.6,Adjective.Noun,1033.694,1033
giant,1380,861,1239,799,27.06,3.1402,10.26,2.9355,Adjective,1029.0,0.75,Adjective.Noun,1029.344,1029
sharp,1213,911,999,832,23.78,3.0842,10.86,2.96,Adjective,1025.0,0.85,Adjective.Name.Adverb,1025.122.62,1025
official,1224,935,1168,899,24.0,3.0881,11.15,2.9713,Adjective,1023.0,0.84,Adjective.Noun,1023.200,1023
useless,1017,766,933,719,19.94,3.0077,9.13,2.8848,Adjective,1014.0,1.0,Adjective,1014,1014
round,3393,1895,3006,1765,66.53,3.5307,22.59,3.2778,Adjective,1011.0,0.3,Adjective.Adverb.Noun.Preposition.Verb.Name,1011.816.676.594.287.2,1011
disappointed,1124,928,1074,900,22.04,3.0512,11.06,2.968,Adjective,1005.0,0.89,Adjective.Verb,1005.118,1005
mental,1002,707,926,671,19.65,3.0013,8.43,2.85,Adjective,1003.0,1.0,Adjective,1003,1003
mighty,1355,785,1126,708,26.57,3.1323,9.36,2.8954,Adjective,979.0,0.72,Adjective.Adverb,979.376,979
chief,3973,1374,1876,995,77.9,3.5992,16.38,3.1383,Noun,2979.0,0.75,Noun.Adjective.Name,2979.978.8,978
stronger,974,761,937,742,19.1,2.989,9.07,2.882,Adjective,975.0,1.0,Adjective,975,975
killed,14792,4422,14523,4394,290.04,4.1701,52.72,3.6457,Verb,13816.0,0.93,Verb.Adjective,13816.974,974
ordinary,973,708,928,693,19.08,2.9886,8.44,2.8506,Adjective,973.0,1.0,Adjective,973,973
solid,998,781,865,710,19.57,2.9996,9.31,2.8932,Adjective,971.0,0.97,Adjective.Noun,971.25,971
nuclear,968,379,906,363,18.98,2.9863,4.52,2.5798,Adjective,968.0,1.0,Adjective,968,968
female,1612,1037,1401,937,31.61,3.2076,12.36,3.0162,Adjective,963.0,0.6,Adjective.Noun.Name,963.645.1,963
latest,955,819,925,794,18.73,2.9805,9.76,2.9138,Adjective,954.0,1.0,Adjective,954,954
longer,5046,3279,4992,3260,98.94,3.703,39.09,3.5159,Adverb,4096.0,0.81,Adverb.Adjective,4096.948,948
thin,1029,803,957,765,20.18,3.0128,9.57,2.9053,Adjective,944.0,0.92,Adjective.Verb.Adverb,944.61.22,944
criminal,1758,1084,1616,1035,34.47,3.2453,12.92,3.0354,Adjective,938.0,0.54,Adjective.Noun.Name,938.805.2,938
cruel,936,690,882,675,18.35,2.9717,8.23,2.8395,Adjective,938.0,1.0,Adjective,938,938
reasonable,946,668,904,661,18.55,2.9763,7.96,2.8254,Adjective,929.0,0.98,Adjective.Adverb.Noun,929.14.1,929
modern,930,676,800,608,18.24,2.9689,8.06,2.8306,Adjective,928.0,1.0,Adjective,928,928
middle,4549,2957,4154,2785,89.2,3.658,35.25,3.471,Noun,3631.0,0.8,Noun.Adjective.Verb,3631.915.1,915
future,5278,2631,5099,2607,103.49,3.7226,31.37,3.4203,Noun,4361.0,0.83,Noun.Adjective.Name,4361.909.2,909
specific,908,743,893,734,17.8,2.9586,8.86,2.8716,Adjective,906.0,1.0,Adjective.Noun,906.1,906
foolish,893,685,843,660,17.51,2.9513,8.17,2.8363,Adjective,892.0,1.0,Adjective,892,892
present,4562,2622,4340,2544,89.45,3.6593,31.26,3.4188,Noun,2468.0,0.54,Noun.Verb.Adjective.Adverb,2468.1108.888.88,888
rotten,891,650,824,616,17.47,2.9504,7.75,2.8136,Adjective,887.0,1.0,Adjective,887,887
steady,1158,742,741,556,22.71,3.0641,8.85,2.871,Adjective,886.0,0.77,Adjective.Verb.Adverb.Noun,886.152.117.3,886
actual,884,706,859,687,17.33,2.9469,8.42,2.8494,Adjective,882.0,1.0,Adjective,882,882
prime,933,546,586,436,18.29,2.9703,6.51,2.738,Adjective,881.0,0.95,Adjective.Name.Verb.Noun,881.35.15.1,881
fit,2937,2090,2830,2057,57.59,3.4681,24.92,3.3204,Verb,1982.0,0.68,Verb.Adjective.Noun,1982.879.75,879
embarrassed,1093,834,1061,822,21.43,3.039,9.94,2.9217,Adjective,871.0,0.8,Adjective.Verb,871.220,871
impressive,865,711,728,609,16.96,2.9375,8.48,2.8525,Adjective,865.0,1.0,Adjective,865,865
shy,937,694,882,679,18.37,2.9722,8.27,2.842,Adjective,862.0,0.92,Adjective.Verb.Noun,862.67.5,862
electric,874,537,735,473,17.14,2.942,6.4,2.7308,Adjective,857.0,0.98,Adjective.Noun,857.15,857
generous,852,700,837,692,16.71,2.9309,8.35,2.8457,Adjective,852.0,1.0,Adjective,852,852
violent,850,679,798,643,16.67,2.9299,8.09,2.8325,Adjective,847.0,1.0,Adjective,847,847
direct,1226,931,1147,883,24.04,3.0888,11.1,2.9694,Adjective,843.0,0.69,Adjective.Verb.Adverb.Noun,843.333.48.1,843
gentle,844,630,758,586,16.55,2.9269,7.51,2.8,Adjective,843.0,1.0,Adjective,843,843
unhappy,843,622,805,606,16.53,2.9263,7.42,2.7945,Adjective,840.0,1.0,Adjective,840,840
filthy,838,594,728,535,16.43,2.9238,7.08,2.7745,Adjective,839.0,1.0,Adjective,839,839
finest,840,695,796,668,16.47,2.9248,8.29,2.8426,Adjective,839.0,1.0,Adjective,839,839
bored,1029,785,990,773,20.18,3.0128,9.36,2.8954,Adjective,838.0,0.81,Adjective.Verb.Noun,838.190.1,838
lower,1417,1055,1102,891,27.78,3.1517,12.58,3.0237,Adjective,836.0,0.59,Adjective.Verb.Adverb,836.522.56,836
plain,1113,832,1001,764,21.82,3.0469,9.92,2.9206,Adjective,831.0,0.74,Adjective.Noun.Adverb,831.224.61,831
smooth,932,710,731,591,18.27,2.9699,8.46,2.8519,Adjective,824.0,0.89,Adjective.Verb,824.107,824
closer,2329,1688,2188,1636,45.67,3.3674,20.12,3.2276,Adverb,1502.0,0.65,Adverb.Adjective,1502.822,822
selfish,811,624,762,599,15.9,2.9096,7.44,2.7959,Adjective,813.0,1.0,Adjective,813,813
suspicious,815,639,779,621,15.98,2.9117,7.62,2.8062,Adjective,813.0,1.0,Adjective,813,813
frightened,1186,794,1138,782,23.25,3.0745,9.47,2.9004,Adjective,812.0,0.68,Adjective.Verb,812.375,812
civil,813,571,596,452,15.94,2.9106,6.81,2.7574,Adjective,811.0,1.0,Adjective.Noun,811.1,811
japanese,1312,518,22,17,25.73,3.1183,6.18,2.7152,Adjective,809.0,0.62,Adjective.Noun.Name,809.501.1,809
dying,3416,2084,3305,2049,66.98,3.5336,24.85,3.3191,Verb,2607.0,0.76,Verb.Adjective,2607.807,807
current,869,671,802,637,17.04,2.9395,8.0,2.8274,Adjective,798.0,0.92,Adjective.Noun,798.71,798
greater,819,634,758,597,16.06,2.9138,7.56,2.8028,Adjective,797.0,0.97,Adjective.Name,797.23,797
uncomfortable,798,645,786,637,15.65,2.9025,7.69,2.8102,Adjective,796.0,1.0,Adjective,796,796
valuable,795,667,780,659,15.59,2.9009,7.95,2.8248,Adjective,796.0,1.0,Adjective,796,796
basic,794,614,716,572,15.57,2.9004,7.32,2.7889,Adjective,787.0,0.99,Adjective.Name,787.5,787
sudden,1707,1310,1670,1290,33.47,3.2325,15.62,3.1176,Adverb,927.0,0.54,Adverb.Adjective,927.780,780
unknown,774,589,687,542,15.18,2.8893,7.02,2.7709,Adjective,774.0,1.0,Adjective,774,774
patient,3246,1460,3129,1438,63.65,3.5115,17.41,3.1647,Noun,2451.0,0.76,Noun.Adjective.Name,2451.773.1,773
key,4430,2165,4165,2099,86.86,3.6465,25.81,3.3357,Noun,3517.0,0.79,Noun.Adjective.Name.Verb,3517.771.71.65,771
painful,773,642,738,622,15.16,2.8887,7.65,2.8082,Adjective,771.0,1.0,Adjective,771,771
wide,1214,982,1133,928,23.8,3.0846,11.71,2.9926,Adjective,770.0,0.63,Adjective.Adverb.Noun,770.443.1,770
extraordinary,771,587,687,536,15.12,2.8876,7.0,2.7694,Adjective,769.0,1.0,Adjective,769,769
starving,865,720,829,696,16.96,2.9375,8.58,2.8579,Adjective,767.0,0.89,Adjective.Verb,767.98,767
mysterious,765,612,722,591,15.0,2.8842,7.3,2.7875,Adjective,766.0,1.0,Adjective,766,766
flying,2579,1501,2298,1401,50.57,3.4116,17.89,3.1767,Verb,1450.0,0.56,Verb.Adjective.Noun,1450.765.364,765
depressed,830,583,790,569,16.27,2.9196,6.95,2.7664,Adjective,761.0,0.92,Adjective.Verb,761.69,761
fascinating,769,617,601,500,15.08,2.8865,7.36,2.791,Adjective,761.0,0.99,Adjective.Verb,761.7,761
cant,119,47,112,45,2.33,2.0792,0.56,1.6812,Noun,847.0,0.5,Noun.Adjective.Name,847.758.87,758
tight,2597,1813,2497,1776,50.92,3.4146,21.61,3.2586,Adverb,1825.0,0.71,Adverb.Adjective,1825.758,758
urgent,758,568,697,532,14.86,2.8802,6.77,2.7551,Adjective,757.0,1.0,Adjective,757,757
financial,777,555,686,508,15.24,2.891,6.62,2.7451,Adjective,755.0,0.97,Adjective.Name,755.20,755
deaf,741,482,710,471,14.53,2.8704,5.75,2.6839,Adjective,739.0,1.0,Adjective,739,739
sore,765,569,726,545,15.0,2.8842,6.78,2.7559,Adjective,738.0,0.97,Adjective.Noun,738.25,738
confused,1653,1268,1600,1239,32.41,3.2185,15.12,3.1035,Verb,917.0,0.55,Verb.Adjective,917.736,736
awkward,730,570,710,558,14.31,2.8639,6.8,2.7566,Adjective,731.0,1.0,Adjective,731,731
christian,811,412,27,17,15.9,2.9096,4.91,2.616,Adjective,726.0,0.9,Adjective.Name.Noun,726.58.26,726
fellow,2987,1525,2846,1478,58.57,3.4754,18.18,3.1836,Noun,2265.0,0.76,Noun.Adjective.Name,2265.726.1,726
international,725,489,629,433,14.22,2.8609,5.83,2.6902,Adjective,725.0,1.0,Adjective,725,725
anxious,719,605,705,593,14.1,2.8573,7.21,2.7825,Adjective,720.0,1.0,Adjective,720,720
commercial,829,530,788,509,16.25,2.9191,6.32,2.7251,Adjective,716.0,0.86,Adjective.Noun.Name,716.112.1,716
sacred,715,497,644,465,14.02,2.8549,5.93,2.6972,Adjective,715.0,1.0,Adjective,715,715
skinny,713,456,520,404,13.98,2.8537,5.44,2.6599,Adjective,713.0,1.0,Adjective,713,713
remote,713,500,684,485,13.98,2.8537,5.96,2.6998,Adjective,712.0,1.0,Adjective,712,712
polite,711,592,682,576,13.94,2.8525,7.06,2.7731,Adjective,710.0,1.0,Adjective,710,710
religious,707,525,672,512,13.86,2.85,6.26,2.721,Adjective,707.0,1.0,Adjective,707,707
broke,5355,3149,5171,3093,105.0,3.7288,37.54,3.4983,Verb,4646.0,0.87,Verb.Adjective,4646.706,706
jewish,702,350,18,12,13.76,2.847,4.17,2.5453,Adjective,701.0,1.0,Adjective,701,701
broad,751,527,709,502,14.73,2.8762,6.28,2.7226,Adjective,697.0,0.93,Adjective.Name.Noun,697.34.20,697
similar,695,575,660,550,13.63,2.8426,6.86,2.7604,Adjective,696.0,1.0,Adjective,696,696
far,11259,5187,10762,5099,220.76,4.0515,61.84,3.715,Adverb,8826.0,0.78,Adverb.Conjunction.Adjective,8826.1731.694,694
unique,696,529,673,520,13.65,2.8432,6.31,2.7243,Adjective,693.0,1.0,Adjective,693,693
intelligent,689,543,659,528,13.51,2.8388,6.47,2.7356,Adjective,689.0,1.0,Adjective.Noun,689.1,689
dutch,761,243,13,11,14.92,2.882,2.9,2.3874,Adjective,678.0,0.89,Adjective.Noun.Verb.Name,678.75.4.3,678
smaller,680,552,638,528,13.33,2.8331,6.58,2.7427,Adjective,678.0,1.0,Adjective.Noun,678.1,678
