Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Adjective_freq,Web_freq
undying,44,42,adjective,44,44,292298.0
unselfish,44,37,adjective,44,44,261911.0
fatter,72,67,adjective.noun,44.26,44,245660.0
whiny,52,48,adjective.noun,44.8,44,225341.0
grouchy,44,38,adjective,44,44,202666.0
tushy,44,30,adjective,44,44,174958.0
spineless,44,42,adjective,44,44,163477.0
bitsy,45,15,adjective,44,44,135378.0
reserved,258,221,verb.adjective,215.43,43,256443074.0
attached,623,540,verb.adjective,579.43,43,23079894.0
coastal,43,38,adjective,43,43,14153912.0
acoustic,49,31,adjective.noun,43.6,43,10857417.0
composite,64,56,adjective.noun,43.21,43,9490002.0
unified,59,41,adjective.verb,43.16,43,7718780.0
enclosed,75,65,adjective.verb,43.32,43,5368884.0
rigorous,43,38,adjective,43,43,3020634.0
reputable,43,41,adjective,43,43,2092298.0
haitian,51,21,adjective.noun,43.8,43,2029984.0
revolving,51,48,adjective.verb,43.7,43,1993058.0
husky,81,35,adjective.name,43.38,43,1606901.0
hormonal,43,43,adjective,43,43,1261979.0
betrayed,590,453,verb.adjective,545.43,43,1200949.0
unplugged,43,39,adjective,43,43,1125423.0
titty,107,62,noun.adjective.name,61.43.2,43,1023702.0
tainted,92,58,verb.adjective,49.43,43,1022281.0
lingering,45,40,adjective.verb,43.2,43,937188.0
decadent,60,51,adjective.noun.name,43.15.1,43,756726.0
femoral,54,41,adjective.noun,43.11,43,627670.0
nonexistent,43,42,adjective,43,43,580905.0
preemptive,44,32,adjective.name,43.1,43,565069.0
slinky,49,27,adjective.name,43.6,43,552098.0
inept,43,35,adjective,43,43,458533.0
pinched,138,111,verb.adjective,95.43,43,398260.0
ticklish,58,46,adjective.verb,43.15,43,355532.0
monotonous,43,36,adjective,43,43,353442.0
hitched,108,93,verb.adjective.name,64.43.1,43,301204.0
insistent,43,42,adjective,43,43,287642.0
irreplaceable,43,40,adjective,43,43,266706.0
brotherly,43,34,adjective,43,43,259429.0
garbled,46,36,adjective.verb,43.3,43,239858.0
impressionable,43,39,adjective,43,43,165577.0
sory,47,9,adjective.name,43.4,43,94381.0
woozy,43,41,adjective,43,43,72439.0
ladylike,43,36,adjective,43,43,55986.0
cross,2807,1700,verb.noun.name.adjective.preposition,1548.1069.129.42.15,42,74230978.0
modified,100,83,verb.adjective.noun,55.42.1,42,52557860.0
covered,1612,1280,verb.adjective,1570.42,42,37662109.0
becoming,1167,961,verb.adjective,1125.42,42,22483164.0
geological,42,36,adjective,42,42,6489369.0
departmental,42,40,adjective,42,42,5141504.0
romanian,42,17,adjective,42,42,4549258.0
crimson,67,43,adjective.noun.name,42.24.1,42,3518175.0
advancing,76,65,adjective.verb,42.34,42,2978593.0
unresolved,42,34,adjective,42,42,2932746.0
downward,60,55,adjective.adverb,42.18,42,2641434.0
spirited,62,54,adjective.verb,42.19,42,1659614.0
metaphysical,42,33,adjective,42,42,1566885.0
escaping,162,140,verb.adjective,120.42,42,1344327.0
famed,42,38,adjective,42,42,1319098.0
corporal,802,281,noun.adjective,758.42,42,1303585.0
vanished,283,244,verb.adjective,241.42,42,1209355.0
projecting,62,44,adjective.verb,42.20,42,1049902.0
unconventional,44,42,adjective.name,42.2,42,953052.0
alarmed,151,138,verb.adjective,109.42,42,866610.0
magnifying,49,44,adjective.verb,42.7,42,755792.0
steamy,46,39,adjective.name,42.4,42,602955.0
liberating,49,46,adjective.verb,42.7,42,566218.0
incomprehensible,42,39,adjective,42,42,509864.0
stinging,46,39,adjective.verb,42.4,42,485905.0
distressing,42,38,adjective,42,42,441740.0
endearing,44,41,adjective.verb,42.2,42,426102.0
commendable,44,40,adjective.name,42.2,42,417037.0
coincidental,42,40,adjective,42,42,364247.0
likable,43,33,adjective.name,42.1,42,333004.0
fairest,44,26,adjective.name,42.2,42,330345.0
scariest,42,40,adjective,42,42,272560.0
horsey,42,31,adjective,42,42,239073.0
demeaning,44,39,adjective.verb,42.2,42,224259.0
footloose,42,25,adjective,42,42,222730.0
sappy,43,33,adjective.name,42.1,42,216405.0
inexcusable,43,41,adjective.name,42.1,42,184565.0
uppity,42,39,adjective,42,42,132132.0
asinine,49,46,adjective.noun,42.7,42,130618.0
sanctimonious,42,38,adjective,42,42,92898.0
respective,41,41,adjective,41,41,46528775.0
comparative,41,34,adjective,41,41,10177483.0
hung,1436,990,verb.adjective.noun,1394.41.1,41,8543618.0
randy,572,179,name.adjective,529.41,41,8110369.0
handmade,46,40,adjective.name,41.2,41,5276538.0
forwarding,56,55,adjective.verb.noun,41.10.5,41,5220845.0
simulated,48,40,adjective.verb,41.7,41,4293640.0
stellar,41,41,adjective,41,41,3062189.0
bipolar,42,34,adjective.name,41.1,41,2693672.0
repeating,270,222,verb.adjective,229.41,41,2625374.0
